Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole
41,1,Travel_Rarely,Sales,1,2,Life Sciences,2,Female,3,Sales Executive,4,Single,5993,8,1,1,0,8,0,1,6,4
49,0,Travel_Frequently,Research & Development,8,1,Life Sciences,3,Male,2,Research Scientist,2,Married,5130,1,0,4,1,10,3,3,10,7
37,1,Travel_Rarely,Research & Development,2,2,Other,4,Male,2,Laboratory Technician,3,Single,2090,6,1,2,0,7,3,3,0,0
33,0,Travel_Frequently,Research & Development,3,4,Life Sciences,4,Female,3,Research Scientist,3,Married,2909,1,1,3,0,8,3,3,8,7
27,0,Travel_Rarely,Research & Development,2,1,Medical,1,Male,3,Laboratory Technician,2,Married,3468,9,0,4,1,6,3,3,2,2
32,0,Travel_Frequently,Research & Development,2,2,Life Sciences,4,Male,3,Laboratory Technician,4,Single,3068,0,0,3,0,8,2,2,7,7
59,0,Travel_Rarely,Research & Development,3,3,Medical,3,Female,4,Laboratory Technician,1,Married,2670,4,1,1,3,12,3,2,1,0
30,0,Travel_Rarely,Research & Development,24,1,Life Sciences,4,Male,3,Laboratory Technician,3,Divorced,2693,1,0,2,1,1,2,3,1,0
38,0,Travel_Frequently,Research & Development,23,3,Life Sciences,4,Male,2,Manufacturing Director,3,Single,9526,0,0,2,0,10,2,3,9,7
36,0,Travel_Rarely,Research & Development,27,3,Medical,3,Male,3,Healthcare Representative,3,Married,5237,6,0,2,2,17,3,2,7,7
35,0,Travel_Rarely,Research & Development,16,3,Medical,1,Male,4,Laboratory Technician,2,Married,2426,0,0,3,1,6,5,3,5,4
29,0,Travel_Rarely,Research & Development,15,2,Life Sciences,4,Female,2,Laboratory Technician,3,Single,4193,0,1,4,0,10,3,3,9,5
31,0,Travel_Rarely,Research & Development,26,1,Life Sciences,1,Male,3,Research Scientist,3,Divorced,2911,1,0,4,1,5,1,2,5,2
34,0,Travel_Rarely,Research & Development,19,2,Medical,2,Male,3,Laboratory Technician,4,Divorced,2661,0,0,3,1,3,2,3,2,2
28,1,Travel_Rarely,Research & Development,24,3,Life Sciences,3,Male,2,Laboratory Technician,3,Single,2028,5,1,2,0,6,4,3,4,2
29,0,Travel_Rarely,Research & Development,21,4,Life Sciences,2,Female,4,Manufacturing Director,1,Divorced,9980,1,0,3,1,10,1,3,10,9
32,0,Travel_Rarely,Research & Development,5,2,Life Sciences,1,Male,4,Research Scientist,2,Divorced,3298,0,1,4,2,7,5,2,6,2
22,0,Non-Travel,Research & Development,16,2,Medical,4,Male,4,Laboratory Technician,4,Divorced,2935,1,1,2,2,1,2,2,1,0
53,0,Travel_Rarely,Sales,2,4,Life Sciences,1,Female,2,Manager,4,Married,15427,2,0,3,0,31,3,3,25,8
38,0,Travel_Rarely,Research & Development,2,3,Life Sciences,4,Male,3,Research Scientist,4,Single,3944,5,1,3,0,6,3,3,3,2
24,0,Non-Travel,Research & Development,11,2,Other,1,Female,4,Manufacturing Director,3,Divorced,4011,0,0,4,1,5,5,2,4,2
36,1,Travel_Rarely,Sales,9,4,Life Sciences,3,Male,2,Sales Representative,1,Single,3407,7,0,2,0,10,4,3,5,3
34,0,Travel_Rarely,Research & Development,7,4,Life Sciences,1,Female,3,Research Director,2,Single,11994,0,0,3,0,13,4,3,12,6
21,0,Travel_Rarely,Research & Development,15,2,Life Sciences,3,Male,3,Research Scientist,4,Single,1232,1,0,4,0,0,6,3,0,0
